,timestamp,HRR_kWLastMinAve,HRR_kVAR,HRR_kW,primaryLovatoReadings.EqvPowerFactor,primaryLovatoReadings.EqvActivePower,primaryLovatoReadings.EqvReactivePower,primaryLovatoReadings.L1PhaseVoltage,primaryLovatoReadings.L2PhaseVoltage,primaryLovatoReadings.L3PhaseVoltage,HRR_WTCorrectedWindSpeed,primaryLovatoReadings.L1Current,primaryLovatoReadings.L2Current,primaryLovatoReadings.L3Current,HRR_GeneratorWindingTemp,HRR_NacelleAirTemp,HRR_OutsideAirTemp,HRR_GearboxOilTemp
4576,48:33.8,-1.639457852,1.07764076,-1.416391967,0.192410514,-1.41257369,1.07438808,-1.053592879,-1.007731879,-1.016774962,-1.321232692,-1.591325939,-1.585715588,-1.608184246,-1.835308101,-0.983619255,-1.165508012,-1.947907067
4577,48:50.6,-1.660947535,1.127361997,-1.620031582,0.201229766,-1.450372337,1.121396332,-1.117141864,-1.020175267,-1.0267052,-1.501882056,-1.635882848,-1.627414595,-1.638280498,-1.835308101,-0.983619255,-1.215403154,-1.926792101
4578,49:07.4,-1.665245471,1.06521045,-1.782943273,-1.182242405,-1.356485375,1.068202783,-1.004165891,-0.908184781,-1.0267052,-1.321232692,-1.5942964,-1.573801586,-1.596145745,-1.840006764,-0.983619255,-1.215403154,-1.905677136
4579,49:24.3,-1.695331027,1.177083235,-1.819598404,-1.549966854,-1.815759262,1.174589881,-1.170099351,-1.264895217,-1.265030922,-1.42962231,-1.763612653,-1.731662112,-1.578087993,-1.830609439,-0.983619255,-1.215403154,-1.947907067
4580,49:41.1,-1.69103309,1.27652571,-1.782943273,-0.34249627,-1.778367052,1.276028743,-1.060653878,-0.986992901,-1.036635439,-1.393492437,-1.591325939,-1.684006104,-1.60517462,-1.835308101,-0.983619255,-1.165508012,-1.926792101
4581,49:58.0,-1.695331027,1.139792307,-1.424537552,0.231521978,-1.418263809,1.135003984,-0.806457939,-0.775455316,-0.783414359,-1.501882056,-1.514093964,-1.508274576,-1.538962864,-1.835308101,-1.034597603,-1.165508012,-1.905677136
4582,50:14.9,-1.69103309,1.450550041,-1.379736836,0.252228047,-1.772270495,1.445505864,-0.937086408,-0.858411232,-0.857891147,-1.42962231,-1.555680413,-1.546995082,-1.560030241,-1.840006764,-0.983619255,-1.215403154,-1.947907067
4583,50:31.9,-1.699628963,1.114931688,-1.766652104,-0.788827093,-1.425986113,1.204279304,-0.986513396,-0.854263436,-0.972088889,-1.357362565,-1.54379857,-1.529124079,-1.563039867,-1.844705426,-0.932640908,-1.265298296,-1.947907067
4584,50:48.7,-1.725416582,1.549992516,-1.811452819,-0.515046846,-1.807224083,1.551892962,-0.990043895,-1.098983386,-1.101181988,-1.501882056,-1.778464956,-1.737619113,-1.563039867,-1.840006764,-0.983619255,-1.215403154,-1.969022032
4585,51:05.9,-1.7039269,1.07764076,-1.40417359,0.208131789,-1.39875483,1.070676902,-0.958269402,-0.879150211,-0.877751624,-1.357362565,-1.54379857,-1.541038081,-1.554010991,-1.840006764,-0.983619255,-1.165508012,-1.947907067
4586,51:22.7,-1.682437217,1.07764076,-1.334936121,0.23765711,-1.328847654,1.052121013,-0.820579936,-0.808637682,-0.887681863,-1.357362565,-1.436861989,-1.424876562,-1.445664481,-1.840006764,-0.983619255,-1.215403154,-2.137941757
4587,52:04.3,-1.669543408,1.015489213,-1.750360935,-0.997421566,-1.743413464,1.016246293,-1.01122689,-0.924775964,-0.90257722,-1.538011928,-1.704203441,-1.740597613,-1.695463378,-1.840006764,-1.034597603,-1.215403154,-1.905677136
